logp	R	ID
-0.5281	-0.356	784
-0.52778	-0.356	785
-0.52671	-0.356	786
-0.5258	-0.355	787
-0.52498	-0.355	788
-0.52197	-0.354	789
-0.52246	-0.354	790
-0.52211	-0.354	791
-0.52238	-0.354	792
-0.52276	-0.354	793
-0.5236	-0.354	794
-0.51972	-0.353	795
-0.51991	-0.353	796
-0.51769	-0.352	797
-0.51823	-0.352	798
-0.5175	-0.352	799
-0.5181	-0.352	800
-0.51902	-0.352	801
-0.51713	-0.351	802
-0.51655	-0.351	803
-0.51528	-0.351	804
-0.51461	-0.35	805
-0.51477	-0.35	806
-0.51319	-0.35	807
-0.51144	-0.349	808
-0.51117	-0.349	809
-0.50843	-0.348	810
-0.50799	-0.347	811
-0.50631	-0.347	812
-0.50718	-0.347	813
-0.50797	-0.347	814
-0.50626	-0.347	815
-0.50564	-0.346	816
-0.5039	-0.346	817
-0.50415	-0.346	818
-0.5045	-0.346	819
-0.50547	-0.346	820
-0.50242	-0.345	821
-0.5025	-0.345	822
-0.50179	-0.345	823
-0.50144	-0.345	824
-0.49856	-0.343	825
-0.49894	-0.343	826
-0.4973	-0.343	827
-0.49504	-0.342	828
-0.4945	-0.342	829
-0.49286	-0.341	830
-0.4938	-0.341	831
-0.49256	-0.341	832
-0.49271	-0.341	833
-0.49256	-0.341	834
-0.49325	-0.341	835
-0.49056	-0.34	836
-0.48846	-0.339	837
-0.48891	-0.339	838
-0.48848	-0.339	839
-0.48903	-0.339	840
-0.48776	-0.339	841
-0.48898	-0.339	842
-0.4871	-0.338	843
-0.48536	-0.338	844
-0.48669	-0.338	845
-0.48546	-0.338	846
-0.48524	-0.338	847
-0.48427	-0.337	848
-0.48508	-0.337	849
-0.48071	-0.336	850
-0.48076	-0.336	851
-0.48234	-0.336	852
-0.48242	-0.336	853
-0.47919	-0.335	854
-0.48049	-0.335	855
-0.47874	-0.335	856
-0.47599	-0.334	857
-0.47659	-0.334	858
-0.47813	-0.334	859
-0.47783	-0.334	860
-0.47631	-0.334	861
-0.47352	-0.333	862
-0.47453	-0.333	863
-0.47209	-0.332	864
-0.47323	-0.332	865
-0.47151	-0.332	866
-0.47017	-0.331	867
-0.46968	-0.331	868
-0.47016	-0.331	869
-0.47102	-0.331	870
-0.4682	-0.33	871
-0.46796	-0.33	872
-0.46568	-0.329	873
-0.46507	-0.329	874
-0.46524	-0.329	875
-0.46189	-0.328	876
-0.46288	-0.328	877
-0.46204	-0.328	878
-0.45947	-0.327	879
-0.46024	-0.327	880
-0.46029	-0.327	881
-0.46026	-0.327	882
-0.45827	-0.326	883
-0.45844	-0.326	884
-0.45834	-0.326	885
-0.45714	-0.326	886
-0.45902	-0.326	887
-0.4582	-0.326	888
-0.45654	-0.325	889
-0.455	-0.325	890
-0.45548	-0.325	891
-0.45478	-0.325	892
-0.4555	-0.325	893
-0.4545	-0.324	894
-0.45402	-0.324	895
-0.45171	-0.323	896
-0.45	-0.323	897
-0.45029	-0.323	898
-0.45157	-0.323	899
-0.44901	-0.322	900
-0.44823	-0.322	901
-0.44762	-0.322	902
-0.44922	-0.322	903
-0.44799	-0.322	904
-0.44594	-0.321	905
-0.44639	-0.321	906
-0.44707	-0.321	907
-0.44622	-0.321	908
-0.44473	-0.32	909
-0.44076	-0.319	910
-0.43819	-0.318	911
-0.43605	-0.317	912
-0.43579	-0.317	913
-0.43693	-0.317	914
-0.43518	-0.316	915
-0.43103	-0.315	916
-0.43198	-0.315	917
-0.43242	-0.315	918
-0.42827	-0.314	919
-0.43045	-0.314	920
-0.42721	-0.313	921
-0.42749	-0.313	922
-0.42333	-0.312	923
-0.42489	-0.312	924
-0.42318	-0.312	925
-0.42138	-0.311	926
-0.4225	-0.311	927
-0.4228	-0.311	928
-0.42154	-0.311	929
-0.41866	-0.31	930
-0.42039	-0.31	931
-0.42028	-0.31	932
-0.41875	-0.31	933
-0.41898	-0.31	934
-0.41736	-0.309	935
-0.41585	-0.309	936
-0.41369	-0.308	937
-0.41347	-0.308	938
-0.41145	-0.307	939
-0.411	-0.307	940
-0.40959	-0.306	941
-0.4093	-0.306	942
-0.40784	-0.305	943
-0.407	-0.305	944
-0.40612	-0.305	945
-0.40705	-0.305	946
-0.40423	-0.304	947
-0.40459	-0.304	948
-0.40155	-0.303	949
-0.40246	-0.303	950
-0.40101	-0.303	951
-0.40258	-0.303	952
-0.39915	-0.302	953
-0.3986	-0.302	954
-0.39802	-0.301	955
-0.39613	-0.301	956
-0.39612	-0.301	957
-0.39822	-0.301	958
-0.3982	-0.301	959
-0.39757	-0.301	960
-0.39468	-0.3	961
-0.39512	-0.3	962
-0.39131	-0.299	963
-0.38849	-0.298	964
-0.38943	-0.298	965
-0.38919	-0.298	966
-0.38917	-0.298	967
-0.38882	-0.298	968
-0.38727	-0.297	969
-0.38739	-0.297	970
-0.3875	-0.297	971
-0.38409	-0.296	972
-0.38501	-0.296	973
-0.38111	-0.295	974
-0.38312	-0.295	975
-0.38131	-0.295	976
-0.37877	-0.294	977
-0.37886	-0.294	978
-0.38043	-0.294	979
-0.37637	-0.293	980
-0.37779	-0.293	981
-0.37723	-0.293	982
-0.37753	-0.293	983
-0.37668	-0.293	984
-0.3777	-0.293	985
-0.37635	-0.293	986
-0.37714	-0.293	987
-0.37566	-0.293	988
-0.37727	-0.293	989
-0.37359	-0.292	990
-0.37423	-0.292	991
-0.3752	-0.292	992
-0.37145	-0.291	993
-0.37251	-0.291	994
-0.37124	-0.291	995
-0.3683	-0.29	996
-0.36798	-0.29	997
-0.36664	-0.289	998
-0.3674	-0.289	999
-0.36623	-0.289	1000
-0.366	-0.289	1001
-0.36765	-0.289	1002
-0.36282	-0.288	1003
-0.36424	-0.288	1004
-0.36306	-0.288	1005
-0.36361	-0.288	1006
-0.36364	-0.288	1007
-0.36374	-0.288	1008
-0.36385	-0.288	1009
-0.36213	-0.287	1010
-0.36141	-0.287	1011
-0.36055	-0.287	1012
-0.36256	-0.287	1013
-0.36166	-0.287	1014
-0.36124	-0.287	1015
-0.36254	-0.287	1016
-0.35844	-0.286	1017
-0.35744	-0.286	1018
-0.35788	-0.286	1019
-0.35731	-0.285	1020
-0.35537	-0.285	1021
-0.3562	-0.285	1022
-0.35304	-0.284	1023
-0.35255	-0.284	1024
-0.35395	-0.284	1025
-0.3524	-0.284	1026
-0.35253	-0.284	1027
-0.35202	-0.283	1028
-0.34995	-0.283	1029
-0.35143	-0.283	1030
-0.3471	-0.282	1031
-0.34733	-0.282	1032
-0.34788	-0.282	1033
-0.34354	-0.28	1034
-0.34277	-0.28	1035
-0.33967	-0.279	1036
-0.33696	-0.278	1037
-0.33869	-0.278	1038
-0.33576	-0.277	1039
-0.336	-0.277	1040
-0.33577	-0.277	1041
-0.33419	-0.277	1042
-0.33531	-0.277	1043
-0.33427	-0.277	1044
-0.33296	-0.276	1045
-0.33205	-0.276	1046
-0.33313	-0.276	1047
-0.33041	-0.275	1048
-0.32648	-0.274	1049
-0.32611	-0.274	1050
-0.32766	-0.274	1051
-0.32805	-0.274	1052
-0.32317	-0.273	1053
-0.32438	-0.273	1054
-0.32482	-0.273	1055
-0.32348	-0.273	1056
-0.32368	-0.273	1057
-0.3211	-0.272	1058
-0.32268	-0.272	1059
-0.32249	-0.272	1060
-0.3213	-0.272	1061
-0.32058	-0.272	1062
-0.31841	-0.271	1063
-0.32007	-0.271	1064
-0.31913	-0.271	1065
-0.31884	-0.271	1066
-0.32013	-0.271	1067
-0.31844	-0.271	1068
-0.31925	-0.271	1069
-0.31739	-0.27	1070
